Judul Kerja Sama,Bidang,Mitra,Periode (masa berlaku),Dokumen,Tingkat Kerja Sama
Nota kesepahaman tentang pengembangan teknologi Artificial Intelligence (AI) dan data analytics untuk asuransi,,PT BNI Life Insurance,01 Febuari 2021 s/d 31 Desember 2021,https://drive.google.com/open?id=1d5zJZqhMKa3zNuVo8zPQ4CKsEfBWdlxe,Nasional
Kontrak swakelola DTS 2019,Pelatihan,Kemkominfo RI,18 Juni 2019 s.d 18 September 2019,https://drive.google.com/open?id=1ruAK3zzmOVBFQ5chHaKpVEipMBoaw2n4,Nasional
Kolaborasi program akademik dan industri,Pelatihan Teknologi Informasi,PT. Global Digital Niaga,19 September 2017 s.d tanggal 19  September 2022,https://drive.google.com/open?id=1GeI1VBYm3XnVF3J585qcfJnhYg9MhrXH,Nasional
Kolaborasi program akademik dan industri,"(pendidikan, penelitian, dan pengabdian kepada masyarakat) bidang Teknologi Informasi",PT. Aerotek Global Inovasi,16 Oktober 2019 s.d tanggal 16 Oktober  2021,https://drive.google.com/open?id=1mw7b3eousnb2kG_WT2Loes1UC8QoCxkB,Nasional
Pengembangan pendidikan dan vokasi industri,,PT. Tata Sarana Mandiri,01 April tahun 2019 s.d 01 April 2022,https://drive.google.com/open?id=1y8kQQgTKfhTNmFN-08AlZqSx4l82WX_u,Nasional
Mutual non-disclosure agreement,,PT Sydeco,23 Desember 2019 s.d 23 Desember 2024,https://drive.google.com/open?id=1GJsdhIgT0qnOnymOl8mK7N3knB9ZA5jm,Internasional
"Kerja sama dalam bidang penelitian. Pendidikan, pengabdian pada masyarakat",,Asosiasi Cloud Computing Indonesia.,31 Mei 2018 s.d 31 Mei 2023,https://drive.google.com/open?id=1A7y-z_hShQvOIjl8HhJPGkBaZT7rkLjK,Nasional
MOA école nationale supérieure des mines de saint-étienne ,,École Nationale Supérieure des Mines de Saint-Étienne France,27 Agustus 2019 - 27 Agustus 2024,https://drive.google.com/open?id=1sUbYCUpmgi5W0ZayD20ixEeP_0Y0fYa4,Internasional
MOA dengan tunghai university,,Tunghai University Taiwan,03 Maret 2018 s/d 02 Maret 2023,https://drive.google.com/open?id=1yeePBi5tXUs0RQMpQ4YcUvGhj3WJyHEw,Internasional
Pemberian beasiswa pendidikan  program magister teknologi informasi e-government,,Kementerian Komunikasi dan Informatika Republik Indonesia,2020 - 2022 (3 tahun),https://drive.google.com/open?id=165oyIx3Xu7D8XyKX1ybz7jvwmo-5OcJw,Nasional
Nota kesepahaman antara stmik amikom purwokerto dengan fakultas teknik ugm,"pendidikan, penelitian dan pengabdian pada masyarakat",STMIK Amikom Purwokerto,2017 s.d 2022 (5 tahun),https://drive.google.com/open?id=1wfJ3_2V3OIYV1EJ_kFPnQ9puZMB-XFQM,Nasional
Co-marketing agreement / perjanjian pemasaran bersama,,Google Asia Pacific Pte. Ltd. (“Google”),Feb - Des 2020,https://drive.google.com/open?id=1Zm64jFVwhBHWb1i23DTVK9zUTGcIabAz,Nasional
"Pendidikan, penelitian, serta pengabdian masyarakat di pt ceria inovasi internasional",,PT Ceria Inovasi Internasional,1 Januari 2022 s.d 31 Desember 2024 (3 tahun),https://drive.google.com/open?id=1T7caWEwD4FaDc8hlrDyRgmB5MC_Iwc2O,Nasional
